Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D180,LED,LED_0402_1005Metric,191.833085,-39.560585,-45,top
D181,LED,LED_0402_1005Metric,190.083085,-39.560585,-45,top
D182,LED,LED_0402_1005Metric,188.333085,-39.560585,-45,top
D183,LED,LED_0402_1005Metric,186.583085,-39.560585,-45,top
D184,LED,LED_0402_1005Metric,184.833085,-39.560585,-45,top
D185,LED,LED_0402_1005Metric,183.083085,-39.560585,-45,top
D186,LED,LED_0402_1005Metric,181.333085,-39.560585,-45,top
D187,LED,LED_0402_1005Metric,179.583085,-39.560585,-45,top
D188,LED,LED_0402_1005Metric,177.833085,-39.560585,-45,top
D189,LED,LED_0402_1005Metric,176.083085,-39.560585,-45,top
D190,LED,LED_0402_1005Metric,211.083085,-41.810585,-45,top
D191,LED,LED_0402_1005Metric,209.333085,-41.810585,-45,top
D192,LED,LED_0402_1005Metric,207.583085,-41.810585,-45,top
D193,LED,LED_0402_1005Metric,205.833085,-41.810585,-45,top
D194,LED,LED_0402_1005Metric,204.083085,-41.810585,-45,top
D195,LED,LED_0402_1005Metric,202.333085,-41.810585,-45,top
D196,LED,LED_0402_1005Metric,200.583085,-41.810585,-45,top
D197,LED,LED_0402_1005Metric,198.833085,-41.810585,-45,top
D198,LED,LED_0402_1005Metric,197.083085,-41.810585,-45,top
D199,LED,LED_0402_1005Metric,195.333085,-41.810585,-45,top
D200,LED,LED_0402_1005Metric,193.583085,-41.810585,-45,top
D201,LED,LED_0402_1005Metric,191.833085,-41.810585,-45,top
D202,LED,LED_0402_1005Metric,190.083085,-41.810585,-45,top
D203,LED,LED_0402_1005Metric,188.333085,-41.810585,-45,top
D204,LED,LED_0402_1005Metric,186.583085,-41.810585,-45,top
D205,LED,LED_0402_1005Metric,184.833085,-41.810585,-45,top
D206,LED,LED_0402_1005Metric,183.083085,-41.810585,-45,top
D207,LED,LED_0402_1005Metric,181.333085,-41.810585,-45,top
D208,LED,LED_0402_1005Metric,179.583085,-41.810585,-45,top
D209,LED,LED_0402_1005Metric,177.833085,-41.810585,-45,top
D210,LED,LED_0402_1005Metric,176.083085,-41.810585,-45,top
D211,LED,LED_0402_1005Metric,211.083085,-44.060585,-45,top
